    0.00000000000000000000e+00     1.00000000000000000000e+00     1.18849999999999997868e+01     2.70000000000000017764e+00    -4.33229828341536382652e+00    -4.95183959706009275692e+01    -5.39996778530114251993e+00
    2.44140625000000000000e-04     9.98942439588772601589e-01     1.18729120291863416981e+01     2.69868151798939193142e+00    -4.33123669116653431388e+00    -4.95062619156725958192e+01    -5.40103685485355722307e+00
    4.88281250000000000000e-04     9.97885138292508577784e-01     1.18608270200702676789e+01     2.69736277496870036074e+00    -4.33017561357231528518e+00    -4.94941337432733874380e+01    -5.40210597989631402527e+00
    7.32421875000000000000e-04     9.96828095985605955320e-01     1.18487449712161403426e+01     2.69604377092438385333e+00    -4.32911505025484277809e+00    -4.94820114490842897226e+01    -5.40317516038293543801e+00
    9.76562500000000000000e-04     9.95771312542555020464e-01     1.18366658811893756820e+01     2.69472450584291145503e+00    -4.32805500083661964794e+00    -4.94698950287904892775e+01    -5.40424439626698394079e+00
    1.22070312500000000000e-03     9.94714787837938096970e-01     1.18245897485564448459e+01     2.69340497971076464623e+00    -4.32699546494051734413e+00    -4.94577844780813862258e+01    -5.40531368750206553386e+00
    1.46484375000000000000e-03     9.93658521746429657107e-01     1.18125165718848688101e+01     2.69208519251443512132e+00    -4.32593644218977324556e+00    -4.94456797926505728924e+01    -5.40638303404182529732e+00
    1.70898437500000000000e-03     9.92602514142795877561e-01     1.18004463497432219299e+01     2.69076514424042700924e+00    -4.32487793220799332516e+00    -4.94335809681958338047e+01    -5.40745243583995094383e+00
    1.95312500000000000000e-03     9.91546764901895083533e-01     1.17883790807011248347e+01     2.68944483487525465293e+00    -4.32381993461914770904e+00    -4.94214880004191385865e+01    -5.40852189285017015408e+00
    2.19726562500000000000e-03     9.90491273898677082599e-01     1.17763147633292497574e+01     2.68812426440544438577e+00    -4.32276244904757422916e+00    -4.94094008850266419586e+01    -5.40959140502625235314e+00
    2.44140625000000000000e-03     9.89436041008183497780e-01     1.17642533961993152047e+01     2.68680343281753364337e+00    -4.32170547511797575879e+00    -4.93973196177286766329e+01    -5.41066097232200782230e+00
    2.68554687500000000000e-03     9.88381066105547545497e-01     1.17521949778840859580e+01     2.68548234009807096356e+00    -4.32064901245541932440e+00    -4.93852441942397391017e+01    -5.41173059469128769905e+00
    2.92968750000000000000e-03     9.87326349065993924548e-01     1.17401395069573748486e+01     2.68416098623361643050e+00    -4.31959306068533699374e+00    -4.93731746102785109542e+01    -5.41280027208798397709e+00
    3.17382812500000000000e-03     9.86271889764838705084e-01     1.17280869819940374299e+01     2.68283937121074123056e+00    -4.31853761943352587593e+00    -4.93611108615678162437e+01    -5.41387000446603039450e+00
    3.41796875000000000000e-03     9.85217688077489217591e-01     1.17160374015699737527e+01     2.68151749501602765235e+00    -4.31748268832614545687e+00    -4.93490529438346428037e+01    -5.41493979177939976921e+00
    3.66210937500000000000e-03     9.84163743879444163909e-01     1.17039907642621265893e+01     2.68019535763606953083e+00    -4.31642826698971848742e+00    -4.93370008528101351430e+01    -5.41600963398210666355e+00
    3.90625000000000000000e-03     9.83110057046293284166e-01     1.16919470686484814337e+01     2.67887295905747180313e+00    -4.31537435505113187162e+00    -4.93249545842295802345e+01    -5.41707953102820649605e+00
    4.15039062500000000000e-03     9.82056627453717356779e-01     1.16799063133080611721e+01     2.67755029926685050867e+00    -4.31432095213763311392e+00    -4.93129141338324075150e+01    -5.41814948287179465325e+00
    4.39453125000000000000e-03     9.81003454977488087430e-01     1.16678684968209314121e+01     2.67622737825083278906e+00    -4.31326805787683298377e+00    -4.93008794973621817803e+01    -5.41921948946700737793e+00
    4.63867187500000000000e-03     9.79950539493468220087e-01     1.16558336177681969303e+01     2.67490419599605733225e+00    -4.31221567189670285103e+00    -4.92888506705665960794e+01    -5.42028955076802176904e+00
    4.88281250000000000000e-03     9.78897880877611092920e-01     1.16438016747319981192e+01     2.67358075248917348432e+00    -4.31116379382557557420e+00    -4.92768276491974788200e+01    -5.42135966672905578179e+00
    5.12695312500000000000e-03     9.77845479005960860341e-01     1.16317726662955109873e+01     2.67225704771684258176e+00    -4.31011242329214372404e+00    -4.92648104290107724523e+01    -5.42242983730436645118e+00
    5.37109375000000000000e-03     9.76793333754652159939e-01     1.16197465910429507119e+01     2.67093308166573661921e+00    -4.30906155992546135991e+00    -4.92527990057665405743e+01    -5.42350006244825255663e+00
    5.61523437500000000000e-03     9.75741444999910334523e-01     1.16077234475595645335e+01     2.66960885432253824945e+00    -4.30801120335494225344e+00    -4.92407933752289537210e+01    -5.42457034211505195742e+00
    5.85937500000000000000e-03     9.74689812618050988036e-01     1.15957032344316353090e+01     2.66828436567394211565e+00    -4.30696135321035811216e+00    -4.92287935331662964700e+01    -5.42564067625914425719e+00
    6.10351562500000000000e-03     9.73638436485480096572e-01     1.15836859502464761817e+01     2.66695961570665396323e+00    -4.30591200912184035587e+00    -4.92167994753509461248e+01    -5.42671106483494725126e+00
    6.34765625000000000000e-03     9.72587316478694008381e-01     1.15716715935924323588e+01     2.66563460440738975166e+00    -4.30486317071987922844e+00    -4.92048111975593798206e+01    -5.42778150779692136751e+00
    6.59179687500000000000e-03     9.71536452474279221825e-01     1.15596601630588811105e+01     2.66430933176287743080e+00    -4.30381483763532202147e+00    -4.91928286955721745244e+01    -5.42885200509956522552e+00
    6.83593750000000000000e-03     9.70485844348912163326e-01     1.15476516572362282176e+01     2.66298379775985605278e+00    -4.30276700949937396246e+00    -4.91808519651739786127e+01    -5.42992255669741830104e+00
